category,reason,user_txId,user_asset,user_type,user_quantity,user_timestamp,user_price_usd,user_fee,exchange_txId,exchange_asset,exchange_type,exchange_quantity,exchange_timestamp,exchange_price_usd,exchange_fee,conflict_fields,conflict_details
"EXACT_MATCH","All fields matched within tolerance including price and fee","","BTC","BUY","0.5","2024-03-01T09:00:00.000Z","62000","0.0005","","BTC","BUY","0.5","2024-03-01T09:00:32.000Z","62000","0.0005","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","ETH","BUY","2","2024-03-01T11:30:00.000Z","3400","0.002","","ETH","BUY","2","2024-03-01T11:30:00.000Z","3400","0.002","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","BTC","SELL","0.1","2024-03-02T08:15:00.000Z","63200","0.0001","","BTC","SELL","0.1","2024-03-02T08:15:10.000Z","63200","0.0001","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","BTC","BUY","0.25","2024-03-03T10:00:00.000Z","61800","0.00025","","BTC","BUY","0.25","2024-03-03T10:02:00.000Z","61800","0.00025","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","USDT","BUY","500","2024-03-03T16:20:00.000Z","1","0.5","","USDT","BUY","500","2024-03-03T16:20:00.000Z","1","0.5","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","ETH","SELL","0.5","2024-03-04T09:05:00.000Z","3450","0.0005","","ETH","SELL","0.5","2024-03-04T09:05:55.000Z","3450","0.0005","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","SOL","BUY","10","2024-03-04T12:00:00.000Z","140","0.01","","SOL","BUY","10","2024-03-04T12:00:00.000Z","140","0.01","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","SOL","SELL","5","2024-03-06T10:15:00.000Z","145","0.005","","SOL","SELL","5","2024-03-06T10:15:00.000Z","145","0.005","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","MATIC","BUY","200","2024-03-07T09:45:00.000Z","0.95","0.2","","MATIC","BUY","200","2024-03-07T09:45:00.000Z","0.95","0.2","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","USDT","SELL","200","2024-03-07T14:00:00.000Z","1","0.2","","USDT","SELL","200","2024-03-07T14:00:00.000Z","1","0.2","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","ETH","BUY","0.8","2024-03-08T11:00:00.000Z","3480","0.0008","","ETH","BUY","0.8","2024-03-08T11:00:00.000Z","3480","0.0008","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","BTC","BUY","0.2","2024-03-09T10:30:00.000Z","61500","0.0002","","BTC","BUY","0.2","2024-03-09T10:30:00.000Z","61500","0.0002","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","BTC","SELL","0.15","2024-03-10T13:00:00.000Z","63000","0.00015","","BTC","SELL","0.15","2024-03-10T13:00:00.000Z","63000","0.00015","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","ETH","BUY","1","2024-03-11T09:00:00.000Z","3520","0.001","","ETH","BUY","1","2024-03-11T09:00:00.000Z","3520","0.001","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","LINK","BUY","50","2024-03-11T15:20:00.000Z","18","0.05","","LINK","BUY","50","2024-03-11T15:20:00.000Z","18","0.05","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","MATIC","SELL","100","2024-03-12T10:00:00.000Z","0.97","0.1","","MATIC","SELL","100","2024-03-12T10:00:00.000Z","0.97","0.1","",""
"EXACT_MATCH","All fields matched within tolerance including price and fee","","BTC","BUY","0.35","2024-03-13T09:15:00.000Z","62200","0.00035","","BTC","BUY","0.35","2024-03-13T09:15:00.000Z","62200","0.00035","",""
"MATCHED","Quantity and timestamp matched. Minor price/fee differences noted.","","ETH","BUY","1.5","2024-03-05T15:00:00.000Z","3500","0.0015","","ETH","BUY","1.5","2024-03-05T15:00:00.000Z","3500","0.002","fee","fee: user=0.0015 exchange=0.002 diff=25.000000%"
"CONFLICTING","Probable match — type and timestamp align but quantity exceeds tolerance","","BTC","BUY","0.3","2024-03-06T13:30:00.000Z","62500","0.0003","","BTC","BUY","0.3001","2024-03-06T13:30:00.000Z","62500","0.0003","quantity","quantity: user=0.3 exchange=0.3001 diff=0.033322%"
"UNMATCHED_EXCHANGE","No matching user record found for ETH SELL","","","","","","","","","ETH","SELL","0.3","2024-03-09T17:00:00.000Z","3510","0.0003","",""
"UNMATCHED_EXCHANGE","No matching user record found for ETH BUY","","","","","","","","","ETH","BUY","0.6","2024-03-13T18:00:00.000Z","3490","0.0006","",""
"UNMATCHED_EXCHANGE","No matching user record found for BTC SELL","","","","","","","","","BTC","SELL","0.2","2024-03-14T10:00:00.000Z","63500","0.0002","",""
